,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
0,Alexander Volkanovski,Diego Lopes,0,0,98 of 160,70 of 158,61%,44%,112 of 178,74 of 162,2 of 7,2 of 5,28%,40%,1,0,0,0,2:49,1:50,72 of 118,33 of 98,3 of 6,17 of 33,23 of 36,20 of 27,88 of 149,66 of 152,3 of 4,3 of 4,7 of 7,1 of 2
1,Dan Hooker,Benoit Saint Denis,0,0,30 of 47,97 of 127,63%,76%,51 of 68,170 of 205,0 of 1,2 of 9,0%,22%,2,2,0,0,0:28,6:14,19 of 32,83 of 113,8 of 12,14 of 14,3 of 3,0 of 0,28 of 44,20 of 32,2 of 3,10 of 11,0 of 0,67 of 84
2,Rafael Fiziev,Mauricio Ruffy,0,1,36 of 66,55 of 88,54%,62%,37 of 67,60 of 93,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:45,9 of 31,45 of 77,15 of 19,4 of 4,12 of 16,6 of 7,34 of 64,42 of 66,2 of 2,1 of 2,0 of 0,12 of 20
3,Tai Tuivasa,Tallison Teixeira,0,0,42 of 58,51 of 74,72%,68%,56 of 74,117 of 144,0 of 0,3 of 9,---,33%,0,0,0,0,3:58,7:00,21 of 36,39 of 60,10 of 10,10 of 11,11 of 12,2 of 3,27 of 35,26 of 47,11 of 17,4 of 4,4 of 6,21 of 23
4,Quillan Salkilld,Jamie Mullarkey,0,0,5 of 8,1 of 4,62%,25%,18 of 21,6 of 9,2 of 3,1 of 1,66%,100%,1,0,0,0,0:39,1:14,1 of 2,1 of 4,1 of 2,0 of 0,3 of 4,0 of 0,3 of 5,0 of 3,2 of 3,1 of 1,0 of 0,0 of 0
5,Junior Tafa,Billy Elekana,1,0,38 of 70,24 of 51,54%,47%,38 of 70,27 of 54,0 of 0,1 of 5,---,20%,0,1,0,0,0:07,1:40,21 of 49,20 of 45,14 of 18,3 of 5,3 of 3,1 of 1,37 of 66,22 of 49,0 of 3,1 of 1,1 of 1,1 of 1
6,Cam Rowston,Cody Brundage,0,0,57 of 119,29 of 65,47%,44%,73 of 139,31 of 67,0 of 0,0 of 1,---,0%,0,0,0,0,2:04,0:19,41 of 96,22 of 58,7 of 13,1 of 1,9 of 10,6 of 6,32 of 70,27 of 61,6 of 8,2 of 4,19 of 41,0 of 0
7,Jacob Malkoun,Torrez Finney,1,0,117 of 181,27 of 77,64%,35%,151 of 219,42 of 95,2 of 8,0 of 1,25%,0%,3,0,0,0,5:16,0:20,115 of 179,25 of 73,2 of 2,2 of 4,0 of 0,0 of 0,97 of 153,25 of 74,4 of 5,2 of 3,16 of 23,0 of 0
8,Jonathan Micallef,Oban Elliott,0,0,19 of 59,40 of 82,32%,48%,30 of 70,47 of 89,1 of 1,0 of 2,100%,0%,1,0,0,0,1:35,1:11,13 of 49,34 of 74,5 of 9,1 of 3,1 of 1,5 of 5,16 of 53,35 of 74,3 of 6,5 of 7,0 of 0,0 of 1
9,Kaan Ofli,Yizha,0,1,48 of 107,68 of 124,44%,54%,53 of 114,75 of 133,0 of 7,3 of 3,0%,100%,0,0,1,0,2:57,1:15,22 of 78,44 of 93,19 of 22,17 of 24,7 of 7,7 of 7,38 of 91,58 of 109,7 of 11,5 of 7,3 of 5,5 of 8
10,Sangwook Kim,Dom Mar Fan,0,0,68 of 134,99 of 173,50%,57%,92 of 160,135 of 211,1 of 10,1 of 4,10%,25%,0,0,0,1,5:30,3:07,37 of 94,79 of 142,29 of 38,18 of 29,2 of 2,2 of 2,50 of 108,63 of 129,18 of 26,29 of 36,0 of 0,7 of 8
11,Keiichiro Nakamura,Sebastian Szalay,1,0,45 of 119,79 of 204,37%,38%,46 of 120,80 of 205,0 of 0,1 of 1,---,100%,0,0,0,0,0:04,0:00,21 of 86,47 of 150,11 of 18,24 of 46,13 of 15,8 of 8,41 of 112,78 of 202,1 of 3,1 of 1,3 of 4,0 of 1
12,Sulangrangbo,Lawrence Lui,0,0,56 of 125,52 of 150,44%,34%,62 of 131,82 of 181,0 of 0,7 of 15,---,46%,0,0,0,0,0:14,4:59,53 of 116,41 of 129,3 of 8,6 of 16,0 of 1,5 of 5,52 of 121,39 of 132,4 of 4,6 of 11,0 of 0,7 of 7
13,Justin Gaethje,Paddy Pimblett,2,0,144 of 254,156 of 311,56%,50%,200 of 313,170 of 326,3 of 3,0 of 5,100%,0%,0,0,0,0,5:55,0:48,120 of 222,83 of 221,15 of 21,48 of 63,9 of 11,25 of 27,102 of 198,140 of 284,20 of 27,16 of 27,22 of 29,0 of 0
14,Sean O'Malley,Song Yadong,0,0,48 of 92,36 of 94,52%,38%,67 of 111,69 of 130,0 of 0,3 of 7,---,42%,0,0,0,0,0:00,2:06,23 of 53,15 of 55,16 of 28,2 of 6,9 of 11,19 of 33,48 of 92,36 of 94,0 of 0,0 of 0,0 of 0,0 of 0
15,Waldo Cortes Acosta,Derrick Lewis,1,0,44 of 62,8 of 43,70%,18%,46 of 64,8 of 43,1 of 1,0 of 0,100%,---,0,0,0,0,0:28,0:00,35 of 53,6 of 37,5 of 5,2 of 5,4 of 4,0 of 1,27 of 45,8 of 43,1 of 1,0 of 0,16 of 16,0 of 0
16,Natalia Silva,Rose Namajunas,0,0,51 of 133,26 of 94,38%,27%,63 of 147,46 of 119,1 of 2,1 of 5,50%,20%,0,0,0,0,1:24,2:09,25 of 95,11 of 64,8 of 14,3 of 13,18 of 24,12 of 17,50 of 132,26 of 92,1 of 1,0 of 2,0 of 0,0 of 0
17,Arnold Allen,Jean Silva,0,0,56 of 116,74 of 136,48%,54%,60 of 121,78 of 141,0 of 0,4 of 6,---,66%,0,0,0,0,0:54,0:32,37 of 86,43 of 103,11 of 22,22 of 23,8 of 8,9 of 10,53 of 113,68 of 127,3 of 3,6 of 9,0 of 0,0 of 0
18,Umar Nurmagomedov,Deiveson Figueiredo,0,0,34 of 72,8 of 27,47%,29%,103 of 167,28 of 58,2 of 6,0 of 0,33%,---,0,0,0,0,4:50,0:09,19 of 50,4 of 18,11 of 17,4 of 8,4 of 5,0 of 1,28 of 58,7 of 26,2 of 3,1 of 1,4 of 11,0 of 0
19,Ateba Gautier,Andrey Pulyaev,2,0,34 of 112,59 of 123,30%,47%,34 of 112,59 of 123,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,24 of 98,34 of 83,9 of 13,19 of 32,1 of 1,6 of 8,30 of 103,57 of 121,4 of 9,2 of 2,0 of 0,0 of 0
20,Nikita Krylov,Modestas Bukauskas,1,0,72 of 137,40 of 108,52%,37%,94 of 164,43 of 111,1 of 4,0 of 0,25%,---,0,0,0,0,2:37,0:56,25 of 76,35 of 101,22 of 34,2 of 4,25 of 27,3 of 3,64 of 128,40 of 108,5 of 6,0 of 0,3 of 3,0 of 0
21,Alex Perez,Charles Johnson,2,0,39 of 75,8 of 25,52%,32%,55 of 94,8 of 25,0 of 0,0 of 1,---,0%,0,0,0,0,0:14,0:00,27 of 60,4 of 14,9 of 10,3 of 9,3 of 5,1 of 2,33 of 67,8 of 25,4 of 6,0 of 0,2 of 2,0 of 0
22,Josh Hokit,Denzel Freeman,0,0,37 of 57,0 of 7,64%,0%,71 of 97,0 of 8,1 of 2,0 of 1,50%,0%,0,0,0,0,3:47,0:00,31 of 48,0 of 7,6 of 9,0 of 0,0 of 0,0 of 0,17 of 31,0 of 7,9 of 11,0 of 0,11 of 15,0 of 0
23,Adam Fugitt,Ty Miller,0,1,36 of 73,59 of 121,49%,48%,39 of 76,65 of 129,0 of 2,0 of 0,0%,---,0,0,0,0,0:00,0:03,10 of 42,55 of 115,21 of 26,4 of 6,5 of 5,0 of 0,30 of 67,55 of 115,6 of 6,3 of 4,0 of 0,1 of 2
24,Brandon Royval,Manel Kape,0,1,17 of 26,17 of 23,65%,73%,17 of 26,18 of 24,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:04,5 of 10,6 of 10,6 of 8,5 of 6,6 of 8,6 of 7,17 of 26,15 of 21,0 of 0,0 of 0,0 of 0,2 of 2
25,Giga Chikadze,Kevin Vallejos,0,1,12 of 22,20 of 32,54%,62%,19 of 29,23 of 35,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,1:28,2 of 10,14 of 24,10 of 10,2 of 3,0 of 2,4 of 5,12 of 22,15 of 26,0 of 0,1 of 2,0 of 0,4 of 4
26,Cesar Almeida,Cezary Oleksiejczuk,0,0,12 of 20,14 of 19,60%,73%,25 of 37,113 of 126,0 of 0,6 of 7,---,85%,0,0,1,1,0:29,11:15,2 of 7,9 of 13,7 of 9,5 of 6,3 of 4,0 of 0,12 of 17,10 of 15,0 of 0,1 of 1,0 of 3,3 of 3
27,Melquizael Costa,Morgan Charriere,1,0,4 of 9,2 of 4,44%,50%,4 of 9,2 of 4,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,1 of 3,0 of 2,1 of 1,0 of 0,2 of 5,2 of 2,4 of 9,2 of 4,0 of 0,0 of 0,0 of 0,0 of 0
28,Kennedy Nzechukwu,Marcus Buchecha,0,0,24 of 48,27 of 44,50%,61%,58 of 87,47 of 66,0 of 0,3 of 13,---,23%,0,0,0,0,3:37,6:20,21 of 43,23 of 38,3 of 5,4 of 6,0 of 0,0 of 0,13 of 32,2 of 12,2 of 2,2 of 4,9 of 14,23 of 28
29,King Green,Lance Gibson Jr.,0,0,65 of 141,30 of 72,46%,41%,74 of 150,35 of 77,1 of 2,2 of 3,50%,66%,0,0,0,0,0:44,1:10,25 of 77,9 of 39,24 of 40,8 of 14,16 of 24,13 of 19,56 of 129,27 of 66,1 of 1,3 of 6,8 of 11,0 of 0
30,Neil Magny,Yaroslav Amosov,0,0,5 of 11,9 of 19,45%,47%,15 of 24,13 of 27,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,1:56,2 of 8,3 of 12,2 of 2,0 of 0,1 of 1,6 of 7,5 of 11,8 of 17,0 of 0,0 of 0,0 of 0,1 of 2
31,Joanderson Brito,Isaac Thomson,0,0,33 of 57,21 of 47,57%,44%,66 of 93,127 of 164,8 of 12,4 of 5,66%,80%,2,0,1,1,7:59,3:00,16 of 36,14 of 33,7 of 10,6 of 10,10 of 11,1 of 4,19 of 36,14 of 37,7 of 10,6 of 8,7 of 11,1 of 2
32,Sean Sharaf,Steven Asplund,0,0,66 of 153,170 of 292,43%,58%,66 of 154,172 of 294,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:03,50 of 134,154 of 276,15 of 18,6 of 6,1 of 1,10 of 10,66 of 149,166 of 285,0 of 4,4 of 7,0 of 0,0 of 0
33,Melissa Croden,Luana Santos,0,0,22 of 74,12 of 24,29%,50%,56 of 109,93 of 110,0 of 1,3 of 7,0%,42%,0,1,1,0,0:44,9:21,9 of 53,6 of 16,7 of 8,4 of 5,6 of 13,2 of 3,18 of 69,10 of 20,4 of 5,2 of 3,0 of 0,0 of 1
34,Allen Frye Jr.,Guilherme Pat,0,0,33 of 86,64 of 100,38%,64%,73 of 132,76 of 114,0 of 0,0 of 0,---,---,0,0,0,0,7:55,0:44,17 of 65,53 of 88,12 of 12,8 of 9,4 of 9,3 of 3,19 of 69,54 of 90,14 of 17,10 of 10,0 of 0,0 of 0
35,Jamey-Lyn Horth,Tereza Bleda,0,0,16 of 22,2 of 12,72%,16%,18 of 24,2 of 12,0 of 0,0 of 4,---,0%,0,0,0,0,0:03,1:20,12 of 17,0 of 8,3 of 4,2 of 2,1 of 1,0 of 2,9 of 15,1 of 11,7 of 7,1 of 1,0 of 0,0 of 0
36,Merab Dvalishvili,Petr Yan,0,0,134 of 383,139 of 230,34%,60%,196 of 458,159 of 251,2 of 29,5 of 9,6%,55%,2,0,1,0,5:12,2:55,105 of 341,109 of 195,22 of 34,17 of 19,7 of 8,13 of 16,116 of 353,119 of 204,18 of 30,18 of 24,0 of 0,2 of 2
37,Alexandre Pantoja,Joshua Van,0,0,6 of 11,2 of 4,54%,50%,6 of 11,2 of 4,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,4 of 8,2 of 4,1 of 1,0 of 0,1 of 2,0 of 0,5 of 10,2 of 3,1 of 1,0 of 1,0 of 0,0 of 0
38,Brandon Moreno,Tatsuro Taira,0,0,9 of 17,28 of 48,52%,58%,9 of 17,45 of 65,0 of 0,1 of 4,---,25%,1,0,0,1,0:05,4:27,8 of 14,23 of 42,0 of 2,3 of 3,1 of 1,2 of 3,7 of 15,7 of 19,0 of 0,2 of 4,2 of 2,19 of 25
39,Henry Cejudo,Payton Talbott,0,1,60 of 116,134 of 217,51%,61%,77 of 136,156 of 240,1 of 7,3 of 5,14%,60%,0,0,0,0,2:39,3:31,33 of 83,89 of 167,10 of 12,34 of 39,17 of 21,11 of 11,51 of 104,90 of 168,7 of 10,28 of 31,2 of 2,16 of 18
40,Jan Blachowicz,Bogdan Guskov,1,1,84 of 149,80 of 140,56%,57%,100 of 173,98 of 160,0 of 0,0 of 0,---,---,1,0,0,0,0:08,4:09,56 of 112,69 of 127,11 of 17,2 of 3,17 of 20,9 of 10,74 of 135,52 of 96,2 of 3,0 of 0,8 of 11,28 of 44
41,Grant Dawson,Manuel Torres,0,1,8 of 21,9 of 17,38%,52%,8 of 21,9 of 17,0 of 2,0 of 0,0%,---,0,0,0,0,0:00,0:04,4 of 13,5 of 12,2 of 4,4 of 5,2 of 4,0 of 0,8 of 21,8 of 12,0 of 0,0 of 0,0 of 0,1 of 5
42,Terrance McKinney,Chris Duncan,0,1,31 of 57,38 of 55,54%,69%,31 of 57,53 of 75,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,1:10,26 of 50,36 of 51,5 of 7,2 of 3,0 of 0,0 of 1,24 of 45,10 of 20,6 of 11,6 of 8,1 of 1,22 of 27
43,Maycee Barber,Karine Silva,0,0,55 of 85,21 of 45,64%,46%,89 of 130,57 of 87,3 of 5,2 of 3,60%,66%,0,0,1,1,6:20,3:28,41 of 66,8 of 30,4 of 7,4 of 5,10 of 12,9 of 10,30 of 52,16 of 32,0 of 1,1 of 4,25 of 32,4 of 9
44,Nazim Sadykhov,Fares Ziam,0,1,4 of 16,31 of 49,25%,63%,7 of 21,76 of 96,0 of 2,2 of 5,0%,40%,0,2,0,0,0:39,5:58,1 of 11,21 of 36,0 of 0,2 of 3,3 of 5,8 of 10,4 of 16,18 of 31,0 of 0,4 of 5,0 of 0,9 of 13
45,Marvin Vettori,Brunno Ferreira,0,0,88 of 186,77 of 149,47%,51%,90 of 188,77 of 149,1 of 4,1 of 7,25%,14%,0,0,0,0,1:08,0:05,78 of 176,60 of 130,1 of 1,9 of 10,9 of 9,8 of 9,86 of 181,73 of 143,2 of 4,3 of 3,0 of 1,1 of 3
46,Edson Barboza,Jalin Turner,0,2,10 of 20,39 of 66,50%,59%,10 of 20,43 of 73,0 of 0,0 of 0,---,---,0,0,1,0,0:07,0:38,4 of 14,29 of 55,4 of 4,8 of 9,2 of 2,2 of 2,10 of 19,33 of 53,0 of 1,5 of 10,0 of 0,1 of 3
47,Iwo Baraniewski,Ibo Aslan,2,1,22 of 32,30 of 53,68%,56%,28 of 39,31 of 54,0 of 1,0 of 1,0%,0%,0,0,0,0,0:11,0:06,18 of 27,29 of 47,3 of 4,0 of 4,1 of 1,1 of 2,6 of 14,19 of 35,6 of 6,11 of 18,10 of 12,0 of 0
48,Mansur Abdul-Malik,Antonio Trocoli,0,0,2 of 4,3 of 6,50%,50%,2 of 4,3 of 6,1 of 1,0 of 1,100%,0%,1,0,0,0,0:42,0:00,2 of 4,2 of 4,0 of 0,0 of 1,0 of 0,1 of 1,1 of 3,3 of 6,0 of 0,0 of 0,1 of 1,0 of 0
49,Muhammad Naimov,Mairon Santos,0,1,18 of 48,27 of 45,37%,60%,35 of 69,43 of 61,0 of 5,0 of 1,0%,0%,0,0,0,0,2:08,0:47,7 of 29,11 of 27,6 of 10,8 of 10,5 of 9,8 of 8,13 of 40,19 of 34,5 of 8,7 of 8,0 of 0,1 of 3
50,Arman Tsarukyan,Dan Hooker,0,0,42 of 60,10 of 33,70%,30%,69 of 89,17 of 41,2 of 4,0 of 0,50%,---,1,2,0,0,6:02,0:10,33 of 49,3 of 20,3 of 5,6 of 12,6 of 6,1 of 1,18 of 31,9 of 30,2 of 2,1 of 3,22 of 27,0 of 0
51,Belal Muhammad,Ian Machado Garry,0,0,56 of 139,72 of 141,40%,51%,97 of 197,96 of 167,0 of 7,0 of 2,0%,0%,0,0,0,0,3:35,0:39,45 of 126,35 of 98,8 of 9,10 of 15,3 of 4,27 of 28,52 of 131,66 of 134,4 of 8,6 of 7,0 of 0,0 of 0
52,Volkan Oezdemir,Alonzo Menifield,1,0,13 of 35,2 of 7,37%,28%,14 of 37,2 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,12 of 33,1 of 5,0 of 1,1 of 2,1 of 1,0 of 0,13 of 35,2 of 7,0 of 0,0 of 0,0 of 0,0 of 0
53,Jack Hermansson,Myktybek Orolbai,0,1,19 of 38,15 of 33,50%,45%,19 of 38,15 of 33,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,9 of 25,9 of 25,5 of 8,3 of 5,5 of 5,3 of 3,17 of 36,13 of 31,2 of 2,1 of 1,0 of 0,1 of 1
54,Waldo Cortes Acosta,Shamil Gaziev,2,0,10 of 21,6 of 15,47%,40%,15 of 26,6 of 15,0 of 0,0 of 0,---,---,0,0,0,0,0:08,0:00,8 of 19,4 of 13,1 of 1,1 of 1,1 of 1,1 of 1,9 of 18,6 of 15,0 of 1,0 of 0,1 of 2,0 of 0
55,Tagir Ulanbekov,Kyoji Horiguchi,0,2,6 of 27,49 of 77,22%,63%,10 of 32,120 of 157,1 of 2,0 of 1,50%,0%,1,1,0,0,1:25,5:34,3 of 18,36 of 60,2 of 8,4 of 4,1 of 1,9 of 13,6 of 25,25 of 41,0 of 2,0 of 3,0 of 0,24 of 33
56,Bogdan Grad,Luke Riley,0,1,7 of 13,14 of 23,53%,60%,17 of 24,20 of 32,4 of 7,0 of 0,57%,---,0,0,0,0,3:55,0:15,6 of 12,11 of 19,1 of 1,1 of 2,0 of 0,2 of 2,1 of 5,4 of 11,2 of 2,1 of 1,4 of 6,9 of 11
57,Nicolas Dalby,Saygid Izagakhmaev,0,0,26 of 63,20 of 34,41%,58%,87 of 140,65 of 88,0 of 2,4 of 10,0%,40%,0,0,1,0,6:29,5:18,13 of 41,11 of 23,8 of 16,9 of 10,5 of 6,0 of 1,11 of 40,8 of 19,13 of 21,10 of 12,2 of 2,2 of 3
58,Alex Perez,Asu Almabayev,0,0,40 of 98,36 of 90,40%,40%,84 of 143,68 of 126,3 of 5,2 of 5,60%,40%,0,1,0,0,2:18,1:12,14 of 57,24 of 76,15 of 23,8 of 10,11 of 18,4 of 4,32 of 85,32 of 84,3 of 7,4 of 6,5 of 6,0 of 0
59,Abdul Rakhman Yakhyaev,Rafael Cerqueira,1,0,6 of 10,0 of 1,60%,0%,11 of 16,0 of 1,1 of 1,0 of 0,100%,---,1,0,0,0,0:24,0:00,6 of 10,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,3 of 4,0 of 1,0 of 0,0 of 0,3 of 6,0 of 0
60,Bekzat Almakhan,Aleksandre Topuria,0,0,39 of 119,47 of 81,32%,58%,42 of 122,55 of 89,0 of 1,2 of 7,0%,28%,0,0,0,0,0:01,2:20,26 of 102,45 of 75,8 of 11,1 of 5,5 of 6,1 of 1,38 of 116,44 of 77,1 of 2,1 of 2,0 of 1,2 of 2
61,Ismail Naurdiev,Ryan Loder,1,0,3 of 6,1 of 4,50%,25%,3 of 6,1 of 4,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,2 of 5,1 of 4,1 of 1,0 of 0,0 of 0,0 of 0,3 of 6,1 of 4,0 of 0,0 of 0,0 of 0,0 of 0
62,Nurullo Aliev,Shem Rock,0,0,51 of 117,44 of 104,43%,42%,63 of 133,77 of 141,1 of 5,1 of 9,20%,11%,1,0,0,0,3:44,0:32,37 of 97,9 of 53,10 of 14,18 of 32,4 of 6,17 of 19,43 of 105,40 of 97,7 of 11,4 of 7,1 of 1,0 of 0
63,Marek Bujlo,Denzel Freeman,0,0,31 of 80,49 of 79,38%,62%,31 of 80,49 of 79,0 of 0,0 of 0,---,---,0,0,0,0,0:28,0:00,3 of 22,19 of 43,6 of 14,6 of 10,22 of 44,24 of 26,31 of 79,45 of 73,0 of 0,4 of 6,0 of 1,0 of 0
64,Jack Della Maddalena,Islam Makhachev,0,0,18 of 61,30 of 57,29%,52%,30 of 74,140 of 188,0 of 1,4 of 4,0%,100%,0,0,0,0,0:00,19:10,10 of 45,14 of 40,6 of 12,6 of 7,2 of 4,10 of 10,14 of 56,20 of 41,4 of 5,3 of 4,0 of 0,7 of 12
65,Valentina Shevchenko,Zhang Weili,0,0,41 of 68,32 of 98,60%,32%,137 of 186,80 of 161,5 of 6,0 of 1,83%,0%,0,0,0,0,13:24,0:46,21 of 44,9 of 59,14 of 17,13 of 26,6 of 7,10 of 13,27 of 47,25 of 90,8 of 14,7 of 8,6 of 7,0 of 0
66,Sean Brady,Michael Morales,0,1,8 of 22,24 of 52,36%,46%,8 of 22,24 of 52,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:02,5 of 15,24 of 50,0 of 0,0 of 1,3 of 7,0 of 1,8 of 22,21 of 47,0 of 0,0 of 1,0 of 0,3 of 4
67,Leon Edwards,Carlos Prates,0,1,12 of 17,21 of 32,70%,65%,25 of 30,24 of 35,2 of 3,0 of 0,66%,---,0,0,0,0,3:00,0:01,4 of 8,8 of 16,0 of 0,2 of 3,8 of 9,11 of 13,11 of 16,19 of 30,1 of 1,1 of 1,0 of 0,1 of 1
68,Beneil Dariush,Benoit Saint Denis,0,1,3 of 5,3 of 5,60%,60%,3 of 5,3 of 5,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0 of 2,3 of 5,1 of 1,0 of 0,2 of 2,0 of 0,2 of 4,0 of 1,1 of 1,2 of 3,0 of 0,1 of 1
69,Bo Nickal,Rodolfo Vieira,1,0,77 of 121,24 of 64,63%,37%,94 of 143,31 of 71,2 of 3,0 of 6,66%,0%,1,0,0,0,1:28,1:00,56 of 93,7 of 38,13 of 19,6 of 12,8 of 9,11 of 14,64 of 103,23 of 63,7 of 9,1 of 1,6 of 9,0 of 0
70,Roman Kopylov,Gregory Rodrigues,0,0,52 of 105,90 of 173,49%,52%,54 of 109,91 of 174,2 of 2,0 of 4,100%,0%,0,1,0,0,0:35,0:24,35 of 80,59 of 133,9 of 16,28 of 37,8 of 9,3 of 3,51 of 103,84 of 164,1 of 1,6 of 9,0 of 1,0 of 0
71,Erin Blanchfield,Tracy Cortez,0,0,52 of 116,46 of 104,44%,44%,65 of 134,50 of 108,2 of 3,1 of 3,66%,33%,1,0,1,0,2:43,0:30,38 of 100,35 of 88,6 of 8,7 of 12,8 of 8,4 of 4,51 of 115,45 of 100,1 of 1,1 of 4,0 of 0,0 of 0
72,Malcolm Wellmaker,Ethyn Ewing,0,0,77 of 146,85 of 163,52%,52%,82 of 151,99 of 179,0 of 3,3 of 5,0%,60%,0,0,0,0,1:11,1:19,35 of 87,70 of 147,35 of 45,10 of 11,7 of 14,5 of 5,53 of 116,67 of 138,24 of 30,18 of 25,0 of 0,0 of 0
73,Kyle Daukaus,Gerald Meerschaert,1,0,8 of 11,0 of 2,72%,0%,8 of 11,0 of 2,0 of 0,0 of 0,---,---,1,0,0,0,0:17,0:00,8 of 10,0 of 2,0 of 0,0 of 0,0 of 1,0 of 0,4 of 7,0 of 2,0 of 0,0 of 0,4 of 4,0 of 0
74,Pat Sabatini,Chepe Mariscal,0,0,12 of 29,7 of 19,41%,36%,40 of 61,48 of 71,7 of 12,0 of 0,58%,---,0,0,0,1,10:37,0:48,10 of 24,2 of 13,2 of 5,2 of 3,0 of 0,3 of 3,4 of 18,6 of 13,2 of 2,1 of 4,6 of 9,0 of 2
75,Angela Hill,Fatima Kline,0,0,56 of 120,115 of 223,46%,51%,65 of 137,152 of 268,0 of 0,4 of 7,---,57%,0,0,0,0,0:29,5:16,34 of 85,89 of 189,15 of 27,23 of 30,7 of 8,3 of 4,44 of 103,71 of 167,12 of 17,15 of 20,0 of 0,29 of 36
76,Baisangur Susurkaev,Eric McConico,1,0,53 of 88,53 of 107,60%,49%,105 of 143,90 of 150,2 of 7,0 of 0,28%,---,0,0,0,0,3:13,2:17,20 of 52,28 of 81,25 of 28,10 of 11,8 of 8,15 of 15,42 of 76,36 of 89,11 of 12,17 of 18,0 of 0,0 of 0
77,Viacheslav Borshchev,Matheus Camilo,0,0,65 of 188,39 of 93,34%,41%,78 of 201,48 of 104,0 of 0,5 of 10,---,50%,0,0,1,0,0:24,3:22,40 of 150,27 of 79,16 of 25,6 of 6,9 of 13,6 of 8,64 of 186,37 of 90,1 of 2,1 of 2,0 of 0,1 of 1
78,Gabriel Bonfim,Randy Brown,1,0,35 of 64,33 of 87,54%,37%,35 of 64,33 of 87,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,11 of 36,11 of 48,1 of 1,9 of 21,23 of 27,13 of 18,33 of 62,33 of 87,2 of 2,0 of 0,0 of 0,0 of 0
79,Matt Schnell,Joseph Morales,0,0,4 of 11,5 of 11,36%,45%,5 of 12,12 of 18,1 of 1,0 of 0,100%,---,0,1,1,1,0:15,1:12,1 of 8,4 of 10,2 of 2,0 of 0,1 of 1,1 of 1,4 of 11,2 of 7,0 of 0,0 of 0,0 of 0,3 of 4
80,Muslim Salikhov,Uros Medic,0,1,2 of 5,8 of 13,40%,61%,2 of 5,9 of 14,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:05,0 of 1,5 of 9,0 of 1,3 of 3,2 of 3,0 of 1,2 of 5,5 of 9,0 of 0,0 of 0,0 of 0,3 of 4
81,Chris Padilla,Ismael Bonfim,0,0,64 of 109,42 of 84,58%,50%,88 of 134,47 of 89,0 of 0,1 of 3,---,33%,0,0,0,0,3:21,0:15,33 of 60,27 of 68,10 of 15,12 of 13,21 of 34,3 of 3,43 of 83,42 of 84,6 of 6,0 of 0,15 of 20,0 of 0
82,Christian Leroy Duncan,Marco Tulio,1,0,23 of 46,27 of 57,50%,47%,40 of 66,42 of 75,1 of 1,2 of 5,100%,40%,0,0,0,0,1:10,2:33,11 of 27,13 of 36,3 of 7,3 of 7,9 of 12,11 of 14,20 of 43,22 of 49,1 of 1,5 of 8,2 of 2,0 of 0
83,Hyder Amil,Jamall Emmers,0,0,47 of 125,50 of 101,37%,49%,80 of 164,83 of 141,0 of 1,7 of 8,0%,87%,0,1,0,0,0:17,8:35,28 of 94,37 of 83,7 of 13,13 of 17,12 of 18,0 of 1,44 of 119,38 of 83,3 of 6,3 of 4,0 of 0,9 of 14
84,Ricky Simon,Raoni Barcelos,0,0,67 of 181,82 of 187,37%,43%,77 of 191,86 of 194,0 of 6,1 of 8,0%,12%,0,0,1,0,1:25,0:09,57 of 165,53 of 150,9 of 15,19 of 24,1 of 1,10 of 13,58 of 170,80 of 184,3 of 4,2 of 3,6 of 7,0 of 0
