,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
1870,Brendan Allen,Jacob Malkoun,0,0,45 of 74,33 of 55,60%,60%,89 of 122,66 of 96,2 of 2,7 of 14,100%,50%,0,0,2,0,3:24,7:09,36 of 62,29 of 50,2 of 4,3 of 4,7 of 8,1 of 1,28 of 55,29 of 48,0 of 1,1 of 1,17 of 18,3 of 6
1871,Kyung Ho Kang,Batgerel Danaa,0,0,100 of 155,109 of 284,64%,38%,100 of 155,110 of 286,0 of 2,0 of 1,0%,0%,0,0,0,0,0:00,0:03,82 of 134,68 of 223,2 of 4,19 of 36,16 of 17,22 of 25,99 of 153,103 of 276,1 of 2,5 of 7,0 of 0,1 of 1
1872,Liang Na,Silvana Gomez Juarez,0,1,4 of 17,8 of 12,23%,66%,4 of 17,10 of 14,0 of 2,0 of 0,0%,---,0,0,0,0,0:09,0:00,4 of 17,8 of 12,0 of 0,0 of 0,0 of 0,0 of 0,4 of 17,6 of 9,0 of 0,2 of 3,0 of 0,0 of 0
1873,Ramona Pascual,Joselyne Edwards,0,0,63 of 109,164 of 268,57%,61%,65 of 113,175 of 280,1 of 11,0 of 3,9%,0%,0,0,0,0,1:02,0:52,23 of 63,22 of 83,20 of 24,65 of 98,20 of 22,77 of 87,44 of 86,152 of 251,19 of 23,12 of 17,0 of 0,0 of 0
1874,Alexander Volkov,Jairzinho Rozenstruik,0,0,21 of 37,6 of 18,56%,33%,21 of 37,6 of 18,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,10 of 26,3 of 15,5 of 5,0 of 0,6 of 6,3 of 3,21 of 37,6 of 18,0 of 0,0 of 0,0 of 0,0 of 0
1875,Dan Ige,Movsar Evloev,0,0,42 of 106,68 of 129,39%,52%,47 of 114,144 of 213,0 of 0,9 of 16,---,56%,0,0,0,0,0:10,6:47,25 of 85,50 of 109,14 of 18,12 of 14,3 of 3,6 of 6,38 of 102,51 of 110,1 of 1,2 of 2,3 of 3,15 of 17
1876,Michael Trizano,Lucas Almeida,1,2,31 of 62,75 of 152,50%,49%,42 of 74,94 of 171,0 of 0,0 of 0,---,---,0,0,0,0,1:43,2:13,17 of 45,32 of 95,12 of 14,16 of 22,2 of 3,27 of 35,26 of 55,54 of 121,1 of 2,0 of 0,4 of 5,21 of 31
1877,Karine Silva,Poliana Botelho,0,0,17 of 68,19 of 26,25%,73%,23 of 75,19 of 26,1 of 1,0 of 0,100%,---,1,0,0,0,0:47,0:00,9 of 49,10 of 17,5 of 8,6 of 6,3 of 11,3 of 3,12 of 63,19 of 26,0 of 0,0 of 0,5 of 5,0 of 0
1878,Ode Osbourne,Zarrukh Adashev,1,0,7 of 15,7 of 13,46%,53%,7 of 15,7 of 13,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,7 of 15,5 of 11,0 of 0,1 of 1,0 of 0,1 of 1,1 of 8,7 of 13,0 of 0,0 of 0,6 of 7,0 of 0
1879,Alonzo Menifield,Askar Mozharov,0,0,19 of 22,2 of 11,86%,18%,55 of 59,11 of 20,2 of 3,0 of 0,66%,---,0,0,0,0,4:19,0:00,18 of 21,1 of 9,1 of 1,1 of 2,0 of 0,0 of 0,3 of 6,2 of 11,0 of 0,0 of 0,16 of 16,0 of 0
1880,Felice Herrig,Karolina Kowalkiewicz,0,0,55 of 122,82 of 123,45%,66%,59 of 126,102 of 146,0 of 2,0 of 2,0%,0%,0,2,0,0,0:01,3:10,34 of 92,54 of 94,20 of 28,23 of 24,1 of 2,5 of 5,49 of 116,57 of 96,6 of 6,17 of 18,0 of 0,8 of 9
1881,Joe Solecki,Alex Da Silva,0,1,33 of 82,35 of 76,40%,46%,91 of 144,54 of 96,1 of 4,0 of 0,25%,---,3,0,0,0,4:51,5:55,32 of 81,20 of 58,0 of 0,11 of 12,1 of 1,4 of 6,30 of 77,29 of 67,1 of 3,1 of 2,2 of 2,5 of 7
1882,Damon Jackson,Dan Argueta,0,0,32 of 53,27 of 59,60%,45%,47 of 71,103 of 141,2 of 4,1 of 3,50%,33%,1,0,1,1,10:25,2:44,23 of 44,24 of 56,6 of 6,3 of 3,3 of 3,0 of 0,19 of 40,16 of 42,5 of 5,10 of 15,8 of 8,1 of 2
1883,Niklas Stolze,Benoit Saint Denis,0,0,11 of 14,8 of 10,78%,80%,20 of 23,41 of 48,0 of 0,3 of 5,---,60%,1,2,0,0,0:00,5:44,3 of 5,4 of 5,5 of 5,3 of 4,3 of 4,1 of 1,6 of 9,4 of 6,4 of 4,2 of 2,1 of 1,2 of 2
1884,Johnny Munoz,Tony Gravely,0,1,2 of 7,5 of 15,28%,33%,2 of 7,6 of 16,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:03,0 of 5,4 of 12,0 of 0,0 of 0,2 of 2,1 of 3,2 of 7,2 of 11,0 of 0,0 of 0,0 of 0,3 of 4
1885,Jeff Molina,Zhalgas Zhumagulov,0,0,56 of 148,37 of 112,37%,33%,129 of 226,68 of 146,0 of 0,2 of 13,---,15%,0,0,0,0,0:14,5:32,43 of 133,10 of 74,6 of 7,17 of 26,7 of 8,10 of 12,49 of 139,28 of 103,5 of 7,9 of 9,2 of 2,0 of 0
