,blue_fighter,red_fighter,method,round,time,winner,days_since,wins,fight_num_rounds,round_mins,decayed_avg_ctrl_dif,decayed_avg_kd_dif,decayed_avg_rev_dif,decayed_avg_sig_str_body_dif,decayed_avg_sig_str_body_pct_dif,decayed_avg_sig_str_clinch_dif,decayed_avg_sig_str_clinch_pct_dif,decayed_avg_sig_str_dif,decayed_avg_sig_str_distance_dif,decayed_avg_sig_str_distance_pct_dif,decayed_avg_sig_str_ground_dif,decayed_avg_sig_str_ground_pct_dif,decayed_avg_sig_str_head_dif,decayed_avg_sig_str_head_pct_dif,decayed_avg_sig_str_leg_dif,decayed_avg_sig_str_leg_pct_dif,decayed_avg_sig_str_pct_dif,decayed_avg_sub_att_dif,decayed_avg_td_att_dif,decayed_avg_td_att_pct_dif,decayed_avg_td_pct_dif,decayed_avg_total_str_dif,decayed_avg_total_str_pct_dif
5036,Danilo Belluardo,Joel Alvarez,KO/TKO ,2,142,blue,2434,2,3,5.0,4.596947666641372e-81,1.275578753587199,1.275578753587199,100000.0,5.280978485179079,44783.72181361758,2.4018517443494716,100000.0,100000.0,1.7422503524418926,1162.8160831646333,1.3335307963249226,100000.0,1.629479360123702,269.94007772082944,3.493155755402417,1.9426952894841685,4.307682256679241,0.11184961870914484,0.32114367617290007,0.32114367617290007,100000.0,1.9742642464865903
5037,Chris Fishgold,Makwan Amirkhani,Submission ,2,265,blue,2434,6,3,5.0,100000.0,1.1898855700252342,1.0908187613097027,0.043742785990140365,0.8164142991370086,0.008387008071723418,0.7022193047533176,2.58592166138368e-06,5.1730707009951344e-08,1.2009211713036563,5960.187044409548,2.038316814637288,0.29611718729007014,1.426566343002191,0.00019963896454244773,0.5384155586264268,1.3680378678580134,0.770445997498424,9.584458277293765,1.475726244979361,1.475726244979361,0.0038356031883675272,1.4015594541403817
5038,Frank Camacho,Nick Hein,KO/TKO ,2,296,red,2434,3,3,5.0,1483.2634900142907,1.8376728211339342,0.7376764242902092,2.08081690201579e-06,0.5884904198108856,2.37304861737492e-05,0.36746493459400587,8.582344593902748e-23,3.616590292784051e-18,0.9085330582873872,1.0,0.9035564725776738,2.4382655658498068e-21,0.877251727236676,16915.74290256509,2.1198142612382034,0.8493526283885487,1.0,1.3556079157093817,1.0392905670661414,1.0392905670661414,1.5659108959742184e-29,0.860751054516979
5039,Sergey Khandozhko,Rostem Akman,Decision - Unanimous ,3,300,red,2434,1,3,5.0,100000.0,0.08768538860858248,1.0,0.007688727375438125,1.7953710764370272,7515.077889467776,1.6604411720156398,2.1137214201573706e-19,1.425047831614198e-22,0.6319833306686244,0.19737167223416985,0.8502144504542442,8.971151832845251e-08,0.7650232390700594,3.064397359346153e-10,0.4991572073615009,0.6848042676405934,1.0,2.2509071963541647,0.8142093349668217,0.8142093349668217,2.626013895953945e-76,0.5378370995523258
5040,Leonardo Santos,Stevie Ray,KO/TKO ,1,137,red,2434,1,3,5.0,1188.8328098631262,0.6423991403435487,1.0,0.0025431199209894604,0.7581346723503929,0.10940187253563344,0.9111633935059393,100000.0,100000.0,0.8389525805824963,1188.8328098631337,1.1535654347849587,100000.0,0.7830335862281794,100000.0,0.8410611144400219,0.8763181573995089,1.942193844478889,0.8014980600996789,0.7241987599615144,0.7241987599615144,100000.0,0.9205218454856119
5041,Lina Lansberg,Tonya Evinger,Decision - Unanimous ,3,300,red,2434,1,3,5.0,7.943693210015381e-60,0.6423991403435486,0.6423991403435486,7.866389347296349e-09,0.8119364366853238,3.4622173597398077e-13,0.7134973577035919,1.209963245077135e-21,0.0011298199788550083,1.2465848616816557,3.0932042497766885e-06,0.7898090534374375,1.5631080054093278e-14,0.8938570358860339,9.840286716396621,0.9877823201015961,1.0357831194668476,0.801498060099679,1.6758207249243569,1.1068737452523416,1.1068737452523416,9.130605997490088e-32,0.8756897748114488
5042,Omari Akhmedov,Abdul Razak Alhassan,Decision - Split ,3,300,red,3168,2,3,5.0,1.1083784730346712e-141,4.160353306025779,1.3021281963008942,5.4310118717310166e-05,0.7842341683981786,0.054803566775614175,1.6776568625991821,2.8706304478626907e-18,5.7544668396988425e-15,1.5926013577050098,0.009102556234642113,0.9584298068055808,2.5467958073944613e-11,1.7026119201750993,0.0020754028490967452,0.4192974932772947,2.034316723284611,0.6910106796357246,0.004122893732105669,0.3910342996320802,0.3910342996320802,3.58168562214097e-38,1.6911066402065023
5043,Glover Teixeira,Alexander Gustafsson,KO/TKO ,5,67,blue,3168,5,5,5.0,8.274677751759851e-126,2.984118364153435,0.5022307255784433,0.05496105503797377,0.5922706231178709,0.12030331137124992,0.5923407800726299,0.00016602182466770722,100000.0,0.86583563358973,5.600806228472979e-13,0.8875210053606651,1.174867385434468e-10,0.758890998783537,100000.0,3.5279287238357537,0.7856045429898076,0.29705853057383563,0.24793003348835407,0.7251893870068763,0.7251893870068763,9.126627769860323e-23,0.7456760039767234
5044,Jessin Ayari,Darren Till,Decision - Unanimous ,3,300,blue,3168,5,3,5.0,100000.0,3.7434213772608627,1.3021281963008942,0.12099573281487783,0.8971489893522374,0.008634409104574973,0.9602039935528623,8.501063743129313e-14,2.5532357795315856e-16,1.3641707255817637,38561.127945680775,1.6239088959876646,4.459430716874028e-12,1.3278105995894331,0.15755195533034205,0.644819554427121,1.3948906149824902,0.4529380127765577,4.8744145259668965,1.506938335357608,1.506938335357608,2.2709342300518067e-14,1.4162206949364922
5045,Alex Nicholson,Jack Hermansson,KO/TKO ,1,120,blue,3168,1,3,5.0,100000.0,0.4529380127765577,1.0,100000.0,0.5993316103658447,7177.718415438019,1.2109116840987686,100000.0,100000.0,1.268512536122733,100000.0,0.9113172922606437,100000.0,1.3757960311580466,100000.0,1.9706224366762448,1.3046998999843291,1.0425651956470157,28.07099514774216,2.43956510917208,2.43956510917208,100000.0,1.1502716382051277
5046,Damir Hadzovic,Marcin Held,KO/TKO ,3,7,red,3168,1,3,5.0,100000.0,0.5306779175804336,0.7284764358443131,4.307296986038888e-06,0.4558513217493179,0.20515284341797715,0.8606067226193486,1.454483609313437e-10,8.403271681637501e-12,0.7340164402930295,84.36899700042328,1.5380073023862244,0.12755597386688583,1.048457281659972,0.00026473003158264364,0.18137292649254816,0.7404982563276601,7.839695544511145,2004.600363652984,2.4601934867458644,2.4601934867458644,100000.0,1.0044905284763612
5047,Bojan Velickovic,Nicholas Musoke,KO/TKO ,3,277,red,3168,1,3,5.0,100000.0,0.5897833576128504,0.20515284341797715,100000.0,2.319707893649073,7910.925043460848,1.7150701237294388,100000.0,100000.0,1.090656770802358,14.013203607733608,0.947286358927822,100000.0,1.4309944306353501,8.137117671797838e-11,1.7021498393415115,1.0468231432516384,0.34784440891708734,2.8748485655216074,1.2615233517177726,1.2615233517177726,2.045512646122714e-37,0.6976294416461761
5048,Nordine Taleb,Oliver Enkamp,Decision - Unanimous ,3,300,red,3168,2,3,5.0,3.4866247053258224e-152,0.5897833576128504,0.7679735396567061,0.014639967359409301,1.5835893595805892,100000.0,3.1240894262966807,1.847885905484498e-24,7.444363276682158e-23,0.6971257168918394,3.527822213769725e-08,0.33366245966023506,6.0664670128947305e-15,0.57636693948276,2.0806508302983028e-08,0.7431371935644115,0.7669604833486183,1.0,0.07136126955638608,0.4147829116815814,0.4147829116815814,7.657215766953149e-37,0.6954684832975558
5049,Damian Stasiak,Pedro Munhoz,Decision - Unanimous ,3,300,blue,3168,3,3,5.0,1.9983695956644565e-179,3.030719348226764,0.40754659878189536,100000.0,1.4207755435384932,75.91391492929259,1.1450812901520449,100000.0,100000.0,0.9373223379788334,2.4537071416836085,0.6826169821307445,100000.0,0.7514941051679181,100000.0,1.1188607342874906,1.0103314041970737,0.7284764358443131,0.0037097158336493376,0.3631715379502834,0.3631715379502834,100000.0,0.9872696210552736
5050,Ben Saunders,Peter Sobotta,KO/TKO ,2,149,blue,3168,2,3,5.0,100000.0,2.153273998098659,1.3727279988692946,3.781627332240509e-08,0.6511539787588965,2.188368290074809e-10,0.3529718730150329,0.21930205274541678,100000.0,0.8375498823465208,70.23097645052573,0.5710927063085809,411.2494645201209,0.8629406252620305,14101.282823693406,2.160830484960094,0.6509337760660795,0.40641562042620033,32.07658471375163,2.0944922430122173,2.0944922430122173,0.00020274146797299384,0.6511457343675066
5051,Joaquim Silva,Reza Madadi,Decision - Split ,3,300,red,3168,5,3,5.0,100000.0,0.3478444089170874,1.0,4.963558781867052e-09,1.0234102317500946,11.604913330727328,1.9922675639367786,8.721782228985029e-08,7.851741871538078e-12,0.6556692058553578,957.1881728771136,0.9155774553964833,100000.0,0.9651334159310347,6.927580083812657e-06,0.43571718482478333,1.0064952892051087,0.6124513830745695,2457.3950444703282,3.575982630297092,3.575982630297092,3.7530130701648977e-20,0.9469397271009046
5052,Chris Camozzi,Trevor Smith,Decision - Unanimous ,3,300,blue,3168,3,3,5.0,100000.0,1.4072635286087671,1.8324375202273657,90591.67922763064,1.463385545341506,36238.68062651915,1.2519198520237687,3.429638550406671e-05,9.65257758603761e-22,0.9887645047916986,100000.0,2.1204098242661447,3.8396949022553976e-06,1.3068819285917552,9.859691466894352e-05,0.7054902190679768,1.1972624356827237,1.3225073094967288,32.41392891806209,1.6943972261991944,1.6943972261991944,100000.0,1.1448065753119614
5053,Misha Cirkunov,Volkan Oezdemir,KO/TKO ,1,28,blue,3168,7,3,5.0,5.219875122403999e-25,3.998822728800373,0.4813902905276928,5893.105937648526,0.6967084291161988,115.81568441900053,0.9437119089043126,100000.0,100000.0,1.12508941419867,1.095690343589588,0.749150775162863,100000.0,1.0436032441007428,100000.0,3.0475079035518258,0.8834885712464369,0.22138629684040817,0.042733623595975115,0.5759352717700803,0.5759352717700803,100000.0,0.8101145765000174
5054,Victor Rodriguez,Adrian Yanez,KO/TKO ,1,166,blue,1916,2,3,5.0,2.7729452010251234e-12,3.58706146299387,1.0,57744.17617116157,2.2160817361806524,2.8992278544237164,1.5307805638747576,100000.0,100000.0,1.4174068285890415,909.0903138789511,1.5307805638747576,100000.0,1.385241870491306,100000.0,2.97154435390246,1.5161857070587668,1.0,1.0,1.0,1.0,100000.0,1.388377068536367
5055,Andre Fili,Bryce Mitchell,Decision - Unanimous ,3,300,blue,1916,3,3,5.0,100000.0,0.740689823318226,0.8689178721276529,19.118185452351923,1.1475872726904017,0.4646829192854635,1.0832812318007512,8.435476531279757e-13,7.59906343320983e-18,1.1604814187378718,100000.0,1.3316487362335552,9.832824316583399e-13,1.3971757771666125,0.04487295519038364,0.8254837044859574,1.4228034068465936,4.262148318718447,6.055942370559751,1.259289939734974,1.259289939734974,100000.0,1.4798357021106419
5056,Alexander Hernandez,Chris Gruetzemacher,KO/TKO ,1,106,red,1916,5,3,5.0,2.8180952938253605e-34,0.5085278509903164,0.7981874856484085,6066.6062275096165,1.0645191155883948,100000.0,1.5034267536972068,100000.0,100000.0,1.2448789581809143,4.058336291628714,1.1865897534889334,100000.0,1.1669768819418453,100000.0,1.8930648713999068,1.2604934222918813,0.8934133901215094,0.3037767613877937,0.8296347395368301,0.8296347395368301,100000.0,1.3281577417300503
5057,Jason Witt,Cole Williams,Submission ,2,129,red,1916,3,3,5.0,4.871208233045103e-147,0.726633297834058,1.0,0.015743411269463492,0.38414591782700963,0.14719456439994122,0.852427884242449,3.469229432071473e-09,1.3997012182421616e-05,0.6765389412438821,0.0016838597227410196,0.6033058516663683,1.4970710381180484e-06,0.7791761639762685,0.14719456439994122,0.38365943804361335,0.5894905046097519,0.5279959495211988,0.008312457381923119,0.47874099141332155,0.47874099141332155,1.3310026143529028e-09,0.8234295485268832
5058,Justin Ledet,Dustin Jacoby,KO/TKO ,1,158,blue,1916,1,3,5.0,100000.0,2.0513538709100985,1.0,71037.57814902946,2.0804687583722505,230.4586442044803,1.4646429309067739,100000.0,100000.0,1.3502070050058839,2.2345407238975077,1.0414661336439743,100000.0,1.0788195276188342,100000.0,3.4411585140870904,1.3396630072906335,0.760549344033589,1.0893004642373756,0.808445682146396,0.808445682146396,100000.0,1.2300144581028731
5059,Charlie Ontiveros,Kevin Holland,Submission ,1,159,blue,1916,3,3,5.0,100000.0,0.45007847013893837,1.227875836518146,100000.0,1.8855837622227198,9599.137900848798,1.3472253630839774,100000.0,100000.0,0.8184354521252744,12336.693765680482,1.4856837774856937,100000.0,0.7733459758896032,100000.0,1.9992373289956187,0.9097033566794823,2.122753964912133,3.200431723456166,1.3378308367890115,1.3378308367890115,100000.0,0.9750699345650423
5060,Thiago Moises,King Green,Decision - Unanimous ,3,300,red,1916,5,3,5.0,2.905986954651055e-51,1.1958134518714125,1.1958134518714125,100000.0,1.5854393025023463,3046.209571638245,1.4332907048473882,100000.0,100000.0,1.1636743855938945,2.32341944671346,1.2740962430604041,100000.0,1.1101875820468445,3642.6983829844767,1.0182834846632722,1.1556442723347895,0.2787797227107922,0.5848031407040667,0.9246077468297268,0.9246077468297268,100000.0,1.1043899638047345
5061,Greg Hardy,Maurice Greene,KO/TKO ,2,72,red,1916,3,3,5.0,1.5486157817611814e-16,1.332957289769217,1.0,0.5114016447289962,0.6269767222738941,27.251266579207233,1.0960873925520616,3.5456112035233834e-06,0.06215027725334816,0.9232481674519173,2.0934440027374043e-06,0.6487269840500839,2.790471444172472e-06,0.8027845993755842,2.48457097806018,1.031770310787299,0.8803691243234012,1.6144591355586233,0.8256370572724326,0.9086457270424115,0.9086457270424115,4.858355470047091,0.9900914441962029
5062,Kevin Natividad,Miles Johns,KO/TKO ,3,171,blue,1916,3,3,5.0,100000.0,0.726633297834058,1.6144591355586233,1.376209985120131,1.0607624722261462,0.45007847013893826,1.2004897873304656,100000.0,100000.0,1.11870928892323,0.0006460286749710946,0.7000602411268798,100000.0,1.2565761709547953,267.2897653293181,1.9945341091612792,1.153616357146627,1.0,0.06624910435789293,0.8933015160772022,0.8933015160772022,100000.0,1.1804251693543246
5063,Jack Marshman,Sean Strickland,Decision - Unanimous ,3,300,blue,1916,4,3,5.0,100000.0,0.8035837136021347,1.0,100000.0,1.1884803245311142,156.07334967303524,1.4066691913418856,100000.0,100000.0,1.4587259847650615,485.58183226737714,1.1083270025451402,100000.0,1.5336545031366546,11.921033344159182,1.405016158759294,1.518752567804218,1.3954506243297828,4.4793514076577035,1.430764183588804,1.430764183588804,100000.0,1.4535096671224301
5064,Anderson Silva,Uriah Hall,KO/TKO ,4,84,blue,1916,1,5,5.0,100000.0,0.6722304527388698,1.7949859576609881,5.364774490473489,0.9373889418919947,0.14329716415752344,0.8098069899375688,13.005866959407857,682.8036133823023,0.716950800633045,0.1329247648287952,0.7568379769133712,18.53422545737193,0.7562109044485343,0.1308017018272932,1.00870400265512,0.726646947270085,0.8512849174223255,1.83393693378603,1.1089185762305442,1.1089185762305442,26.985652128961462,0.7910488567258482
5065,Jason Witt,Bryan Barberena,Decision - Majority ,3,300,red,1643,5,3,5.0,3.5854870356142157e-87,1.277632520458543,1.1888035348303647,24416.36228352695,1.128681707919067,100000.0,2.2752834002020768,100000.0,100000.0,0.9748894674489481,11.928282735589432,1.199287894745876,100000.0,1.0072433795071618,100000.0,1.2471110636560698,0.971096929535969,0.8172813041784249,0.019554445412336464,0.5632717420130123,0.5632717420130123,100000.0,1.0777100586831294
5066,Gloria de Paula,Cheyanne Vlismas,KO/TKO ,1,60,blue,1643,2,3,5.0,3.8632339736134376e-50,1.5079483223501582,3.428935969232235,5.170658242249862,0.7472555894378962,0.007233733399114194,0.9682420083894668,0.0002705645110341627,3.4700724231655356e-05,0.8996214157417527,1077.8784607684725,1.9588520853928046,0.024804008644059218,1.0513845458833875,0.0021096146046535496,0.7933789004601686,0.9796719580872492,1.5079483223501582,0.43977150226220163,1.1737367935788274,1.1737367935788274,0.0013989966190390967,0.9921596416795834
5067,Rafa Garcia,Chris Gruetzemacher,Decision - Unanimous ,3,300,blue,1643,3,3,5.0,4.403919825160408e-100,0.8484874374632146,0.8484874374632146,100000.0,1.0239293693138591,100000.0,0.889422371287215,53677.159624644315,0.0007779986925722331,1.1768405314370685,3.3889301638994382,1.3242225349465446,3.7150584381721466e-09,1.027711279321632,100000.0,1.384937932336257,1.168742662831149,0.5183005461778184,0.012705939543116378,0.6274178258146607,0.6274178258146607,100000.0,1.1348409377878856
5068,Melsik Baghdasaryan,Collin Anglin,KO/TKO ,2,110,red,1643,2,3,5.0,3.211684773323883e-07,0.7199309315328926,1.0,1.6646179721647553e-07,0.6868192172207622,0.007233733399114194,0.9691893892027208,8.878226866596958e-20,6.346138901103954e-17,0.7355006136725806,0.19339897420195362,0.5943521243427433,3.794227162835971e-08,0.7652926017886181,1.4056860353038702e-05,1.0158911032955187,0.7409312040751366,1.0,2.273908142878657,1.5079483223501582,1.5079483223501582,2.0284804234681587e-21,0.7293088213859007
5069,Kai Kamaka,Danny Chavez,Decision - Majority ,3,300,red,1643,0,3,5.0,1.0631402156217883e-129,0.6631526990536958,0.6631526990536958,2.570747161306439e-17,0.5796877605667348,0.0002705645110341627,0.5764154636102319,2.413619106105286e-25,8.920678831380588e-22,0.7319453040702629,1.0,0.7433020585522143,2.134923349051242e-08,0.8172508439557665,0.43977150226220163,1.103284643416466,0.7174708806250292,0.6631526990536958,0.6631526990536958,0.9024089322144869,0.9024089322144869,1.3941896463125734e-36,0.69679247100834
5070,Ashley Yoder,Jinh Yu Frey,Decision - Unanimous ,3,300,blue,1643,2,3,5.0,1.279294587356936e-65,0.8331383571783116,0.4014076527005761,1.4916099209677678e-05,0.7088501616853088,0.3052539850281966,0.9156035644965376,2.653106477020472e-13,1.1579640522906422e-06,1.0185373556308546,7.505821986653568e-07,0.7670570798325916,2.1210141697808238e-11,0.8848771524034932,838.6019089697855,1.5143386992030181,0.98948268853255,0.5043003109343922,1.1732012353684622,1.0570978911112134,1.0570978911112134,7.915080956025548e-35,0.8978503580694862
5071,Jared Gooden,Niklas Stolze,KO/TKO ,1,68,red,1643,2,3,5.0,1.227802617987374e-27,0.7907967592856151,1.0,1.5309965131743036e-08,1.5656164321045176,0.008459004281409324,0.8064166279461141,3.2826170628614703e-26,3.20861086533001e-23,1.1234354358925651,0.12094388861108024,1.2465386557350344,4.5331758811659e-17,1.1016197682851085,0.04729807347232553,1.426863532757072,1.0905846067030436,1.081380099473408,0.5347773633842455,0.7506070379649908,0.7506070379649908,1.6267663270548547e-40,1.0198633403827537
